1,Rahul Sharma,9876543210
2,Anjali Verma,8765432109
3,Amit Kumar,7654321098
4,Sunita Reddy,6543210987
5,Rajesh Singh,5432109876
6,Priya Gupta,4321098765
7,Vikram Patel,3210987654
8,Sneha Joshi,2109876543
9,Arjun Mehta,1098765432
10,Neha Rao,0987654321
11,Varun Singh,9876543211
12,Pooja Sharma,8765432102
13,Karan Kapoor,7654321093
14,Aarti Saxena,6543210984
15,Rohit Agarwal,5432109875
16,Suman Roy,4321098766
17,Ajay Desai,3210987657
18,Kavita Nair,2109876548
19,Nitin Gupta,1098765439
20,Meena Reddy,0987654320
